relative_path,person,label,filename,bytes,sha256,width,height,fps,duration
P01/Bạn có cần giúp đỡ không/001.MOV,P01,Bạn có cần giúp đỡ không,001.MOV,8073588,13523affac6e7f840f87a7905889091eea0fc5e07fe3e7c839d3bdc757e147b3,1920,1080,59.9622,5.2867
P01/Bạn có cần giúp đỡ không/002.MOV,P01,Bạn có cần giúp đỡ không,002.MOV,8456792,2b01a7f616bc163c0b1df9180d71644b30edd0ef6a3c2f204492a86c3e4ae43f,1920,1080,59.9642,5.5867
P01/Bạn có cần giúp đỡ không/003.MOV,P01,Bạn có cần giúp đỡ không,003.MOV,6941345,5df639099f2fd61bcfcfe5cd29fcddd2eb63337441a70b05c4c406437f96216a,1920,1080,59.9564,4.5867
P01/Bạn có cần giúp đỡ không/004.MOV,P01,Bạn có cần giúp đỡ không,004.MOV,7243966,6d287f1ebd9086498aca851d6fc2f1058917f71bb40833d0b5b69069dc066b56,1920,1080,59.9575,4.7033
P01/Bạn có cần giúp đỡ không/005.MOV,P01,Bạn có cần giúp đỡ không,005.MOV,9521175,5eee2eb46ae101ee77dc7f6081e1ed2fc30269ccfa363c9ea83c73cc9f5c0f6c,1920,1080,59.968,6.2533
P01/Bạn có cần giúp đỡ không/006.MOV,P01,Bạn có cần giúp đỡ không,006.MOV,9758616,2c34c1b3c50bf05ce3dc8d9f16f0e45177516462407bac961bd48909c8d13259,1920,1080,59.9688,6.4033
P01/Bạn có vấn đề gì không/001.MOV,P01,Bạn có vấn đề gì không,001.MOV,8199968,e6fcae9043759b6993711ab02ced36dc6fe1fb1f69c9b41bd4105898fb39be62,1920,1080,59.9635,5.4867
P01/Bạn có vấn đề gì không/002.MOV,P01,Bạn có vấn đề gì không,002.MOV,8869265,f04a05a790dc0f4c207d0d4ccbea0da468de1b24b2294983da59ddd32181d905,1920,1080,59.966,5.8867
P01/Bạn có vấn đề gì không/003.MOV,P01,Bạn có vấn đề gì không,003.MOV,7592019,a9002c77d68dda5500d40953bee5f8cd7e4324d30dbaad65cf73616fc323cd1d,1920,1080,59.9602,5.02
P01/Bạn có vấn đề gì không/004.MOV,P01,Bạn có vấn đề gì không,004.MOV,7203230,1552506405f5b7cee2ed8a5761e5c2f55db73fd32ac2549ac24a684d8aaa8e2d,1920,1080,59.9581,4.77
P01/Bạn có vấn đề gì không/005.MOV,P01,Bạn có vấn đề gì không,005.MOV,9354629,7f3468c6878a99b7c520fad7153bc93f7585a24dbb13e5d07df5163448ed68d2,1920,1080,59.9679,6.2367
P01/Bạn có vấn đề gì không/006.MOV,P01,Bạn có vấn đề gì không,006.MOV,8972432,35136cf5a4ad171dd2ceb32da9f531a1e6485d12e4595076c684bb3bd41f2fa7,1920,1080,59.9664,5.9533
P01/Bạn quê ở đâu/001.MOV,P01,Bạn quê ở đâu,001.MOV,8313829,329609ec75eca8cb771a97567e80523739343c1e7020a1c5344d5c3b228b63de,1920,1080,59.9643,5.6033
P01/Bạn quê ở đâu/002.MOV,P01,Bạn quê ở đâu,002.MOV,9128770,6c5aa4258a434cd730dc8387a7932a194cf38dae41a4d3cddcf6bad0941d587a,1920,1080,59.9672,6.1033
P01/Bạn quê ở đâu/003.MOV,P01,Bạn quê ở đâu,003.MOV,7586153,90a588cde24f3046c532b06640cfd13b702dad262fd48ff11f3ab4d8ca6f6e15,1920,1080,59.9607,5.0867
P01/Bạn quê ở đâu/004.MOV,P01,Bạn quê ở đâu,004.MOV,8517760,4e6d6d6da532960b0d660fc5bc8582020dbb6806287061de0af836e6d5345ead,1920,1080,59.9647,5.67
